File_Path,Speaker,Transcription,Session
03M_1,03M,1 2 3 4 5 6 7 8 9 10,1
03M_2,03M,ata,2
03M_3,03M,ana,3
03M_4,03M,ara,4
03M_5,03M,atha,5
03M_6,03M,asa,6
03M_7,03M,asha,7
03M_8,03M,ala,8
03M_9,03M,aya,9
03M_10,03M,aka,10
03M_11,03M,acha,11
03M_12,03M,bang,12
03M_13,03M,apa,13
03M_14,03M,ama,14
03M_15,03M,afa,15
03M_16,03M,awa,16
03M_17,03M,iki,17
03M_18,03M,oko,18
03M_19,03M,iti,19
03M_20,03M,oto,20
03M_21,03M,"a sock, a tore, a chore, a chip",21
03M_22,03M,"a she, a kip, a sore, a chop",22
03M_23,03M,"a chew, a shack, a ship, a cool",23
03M_24,03M,"a keep, a shoot, a chap, a suit",24
03M_25,03M,"a core, a sip, a cop, a tool",25
03M_25v2,03M,"a core, a sip, a cop, a tool",25v2
03M_26,03M,"a tip, a top, a sea, a tan",26
03M_27,03M,"a can, a cheer, a shock, a sack",27
03M_28,03M,"a shore, a team",28
03M_29,03M,Naughty Neil saw a robin in a nest,29
03M_30,03M,Tiny Tim is putting a hat on,30
03M_31,03M,My daddy mended a door,31
03M_32,03M,I saw Sam sitting on a bus,32
03M_33,03M,Funny Shaun is washing a dirty dish,33
03M_34,03M,Cheeky Charlie's watching a football match,34
03M_35,03M,Jolly John's got a magic badge,35
03M_36,03M,Happy Karen is making a cake,36
03M_37,03M,Baby Gary's got a bag of Lego,37
03M_38,03M,The puppy is playing with a rope,38
03M_39,03M,Bouncy Bob is a baby boy,39
03M_40,03M,The hamster scrambled up Stewart's sleeve,40
03M_41,03M,The nasty boy tossed the basket into the box,41
03M_6v2,03M,asa,6v2
03M_7v2,03M,asha,7v2
03M_11v2,03M,acha,11v2
03M_32v2,03M,I saw Sam sitting on a bus,32v2
03M_33v2,03M,Funny Shaun is washing a dirty dish,33v2
03M_34v2,03M,Cheeky Charlie's watching a football match,34v2
03M_35v2,03M,Jolly John's got a magic badge,35v2
03M_40v2,03M,The hamster scrambled up Stewart's sleeve,40v2
03M_41v2,03M,The nasty boy tossed the basket into the box,41v2
02M_1,02M,1 2 3 4 5 6 7 8 9 10,1
02M_2,02M,ata,2
02M_3,02M,ana,3
02M_4,02M,ara,4
02M_5,02M,atha,5
02M_6,02M,asa,6
02M_6v2,02M,asa,6v2
02M_7,02M,asha,7
02M_7v2,02M,asha,7v2
02M_8,02M,ala,8
02M_9,02M,aya,9
02M_10,02M,aka,10
02M_11,02M,acha,11
02M_11v2,02M,acha,11v2
02M_11v3,02M,acha,11v3
02M_12,02M,bang,12
02M_13,02M,apa,13
02M_14,02M,ama,14
02M_15,02M,afa,15
02M_16,02M,awa,16
02M_17,02M,iki,17
02M_18,02M,oko,18
02M_19,02M,iti,19
02M_20,02M,oto,20
02M_21,02M,"a sock, a tore, a chore, a chip",21
02M_22,02M,"a she, a kip, a sore, a chop",22
02M_23,02M,"a chew, a shack, a ship, a cool",23
02M_24,02M,"a keep, a shoot, a chap, a suit",24
02M_25,02M,"a core, sip, a cop, a tool",25
02M_26,02M,"a tip, a top, a sea, a tan",26
02M_27,02M,"a can, a cheer, a shock, a sack",27
02M_28,02M,"a shore, a team",28
02M_29,02M,Naughty Neil saw a robin in a nest,29
02M_30,02M,Tiny Tim is putting a hat on,30
02M_31,02M,My daddy mended a door,31
02M_32,02M,I saw Sam sitting on a bus,32
02M_32v2,02M,I saw Sam sitting on a bus,32v2
02M_33,02M,Funny Shaun is washing a dirty dish,33
02M_33v2,02M,Funny Shaun is washing a dirty dish,33v2
02M_34,02M,Cheeky Charlie's watching a football match,34
02M_34v2,02M,Cheeky Charlie's watching a football match,34v2
02M_35,02M,Jolly John's got a magic badge,35
02M_35v2,02M,Jolly John's got a magic badge,35v2
02M_35v3,02M,Jolly John's got a magic badge,35v3
02M_36,02M,Happy Karen is making a cake,36
02M_37,02M,Baby Gary's got a bag of Lego,37
02M_38,02M,The puppy is playing with a rope,38
02M_39,02M,Bouncy Bob is a baby boy,39
02M_40,02M,The phone fell off the shelf,40
02M_41,02M,The hamster scrambled up Stewart's sleeve,41
02M_41v2,02M,The hamster scrambled up Stewart's sleeve,41v2
02M_42,02M,The nasty boy tossed the basket into the box,42
02M_42v2,02M,The nasty boy tossed the basket into the box,42v2
01M_1,01M,1 2 3 4 5 6 7 8 9 10,1
01M_2,01M,ata,2
01M_3,01M,ana,3
01M_5,01M,atha,5
01M_6,01M,asa,6
01M_6v2,01M,asa,6v2
01M_6v3,01M,asa,6v3
01M_7,01M,asha,7
01M_7v2,01M,asha,7v2
01M_8,01M,ala,8
01M_9,01M,aya,9
01M_10,01M,aka,10
01M_13,01M,apa,13
01M_15,01M,afa,15
01M_16,01M,awa,16
01M_17,01M,iki,17
01M_18,01M,oko,18
01M_19,01M,iti,19
01M_20,01M,oto,20
01M_21,01M,"a sock, a tore, a chore, a chip",21
01M_21v2,01M,"a sock, a tore, a chore, a chip",21v2
01M_22,01M,"a she, a kip, a sore, a chop",22
01M_23,01M,"a chew, a shack, a ship, a cool",23
01M_24,01M,"a keep, a shoot, a chap, a suit",24
01M_25,01M,"a core, a sip, a cop, a tool",25
01M_26,01M,"a tip, a top, a sea, a tan",26
01M_27,01M,"a can, a cheer, a shock, a sack",27
